epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,53476.1,0.89335,0.60483,1.29234,0.82341,0.78444,0.84029,0.57883,0.97402,0.81024,1.25022,0.00605408,0.00201803,0.00605408,0.00201803,0.00605408,0.00201803,0.00605408,0.00201803
41,54804.9,0.88387,0.59368,1.28211,0.82317,0.7842,0.84036,0.57936,0.97438,0.80469,1.25116,0.00592167,0.00197389,0.00592167,0.00197389,0.00592167,0.00197389,0.00592167,0.00197389
42,56132.6,0.87686,0.58549,1.2789,0.82208,0.78491,0.84066,0.57957,0.97456,0.79863,1.25221,0.00578791,0.0019293,0.00578791,0.0019293,0.00578791,0.0019293,0.00578791,0.0019293
43,57429.2,0.87417,0.58451,1.27475,0.82323,0.78473,0.84083,0.58,0.97482,0.79412,1.25364,0.00565291,0.0018843,0.00565291,0.0018843,0.00565291,0.0018843,0.00565291,0.0018843
44,58755.6,0.86177,0.57114,1.26371,0.82226,0.78711,0.84082,0.58018,0.97527,0.78844,1.25496,0.00551683,0.00183894,0.00551683,0.00183894,0.00551683,0.00183894,0.00551683,0.00183894
45,60060.3,0.85196,0.56114,1.25692,0.82288,0.78776,0.84007,0.58016,0.97578,0.78483,1.25673,0.00537978,0.00179326,0.00537978,0.00179326,0.00537978,0.00179326,0.00537978,0.00179326
46,61378.5,0.84954,0.55759,1.25152,0.82354,0.78726,0.83999,0.57989,0.97625,0.78117,1.25839,0.00524192,0.00174731,0.00524192,0.00174731,0.00524192,0.00174731,0.00524192,0.00174731
47,62695.4,0.84452,0.55008,1.24512,0.82346,0.78897,0.83975,0.5799,0.97635,0.77596,1.25969,0.00510336,0.00170112,0.00510336,0.00170112,0.00510336,0.00170112,0.00510336,0.00170112
48,64020.9,0.84093,0.54852,1.24428,0.82159,0.79169,0.83943,0.57978,0.97674,0.76877,1.26125,0.00496425,0.00165475,0.00496425,0.00165475,0.00496425,0.00165475,0.00496425,0.00165475
49,65331.6,0.82913,0.5373,1.23324,0.82235,0.79081,0.83882,0.57972,0.97728,0.76371,1.26272,0.00482473,0.00160824,0.00482473,0.00160824,0.00482473,0.00160824,0.00482473,0.00160824
50,66637.1,0.82324,0.53154,1.22936,0.82438,0.78965,0.83877,0.57973,0.97742,0.75962,1.26423,0.00468493,0.00156164,0.00468493,0.00156164,0.00468493,0.00156164,0.00468493,0.00156164
51,67955.4,0.8168,0.52563,1.22313,0.82676,0.78948,0.83909,0.57961,0.9778,0.75567,1.26561,0.004545,0.001515,0.004545,0.001515,0.004545,0.001515,0.004545,0.001515
